code	rate
01	11.53
02	4.56
03	10.17
04	24.46
05	18.4
06	12.29
07	20.86
08	5.15
09	17.67
10	6.13
11	14.61
12	9.78
13	13.04
14	7.36
15	8.69
16	8.33
17	10.01
18	6.56
19	8.3
2A	12.31
2B	8.09
21	10.76
22	9.53
23	12.87
24	15.7
25	9.04
26	18.26
27	7.05
28	6.32
29	8.49
30	15.56
31	10.51
32	11.38
33	9.05
34	15.71
35	9.02
36	6.54
37	9.48
38	12.88
39	10.33
40	8.78
41	8.08
42	8.06
43	10.13
44	6.63
45	6.95
46	20.05
47	7.52
48	15.03
49	6.96
50	6.77
51	5.9
52	5.67
53	4.88
54	7.37
55	4.95
56	10.96
57	5.12
58	9.58
59	5.03
60	6.82
61	7.19
62	3.67
63	9.48
64	7.76
65	8.4
66	11.89
67	6.94
68	7.45
69	12
70	7.57
71	9.39
72	6.99
73	14.57
74	14.34
75	10.78
76	5.17
77	7.24
78	7.32
79	7.07
80	4.91
81	11.18
82	10.7
83	12.92
84	15.18
85	8.11
86	7.06
87	8.86
88	6.1
89	11.12
90	8.56
91	6.79
92	6.56
93	4.67
94	6.29
95	5.42
